param T = 24;
set S := A B C;
param p := A 0.3 B 0.3 C 0.4;
param cf = 44;
param co = 2;
param cm:=   1 37 2 37 3 37 4 37 5 37 6 38 7 38 8 40 9 40 10 40 11 45 12 45 13 45 14 41 15 41 16 41 17 42 18 45 19 45 20 45 21 45 22 43 23 41 24 39;
param pres: A B C= 
1 155 135 139
2 155 156 126
3 155 159 159 
4 165 157 151 
5 175 165 182
6 180 189 171 
7 185 169 180
8 225 223 206
9 215 200 191
10 220 228 199
11 230 215 234
12 245 216 230
13 235 239 227
14 210 217 214
15 195 196 189 
16 165 156 158
17 175 156 183 
18 170 165 143
19 165 167 145
20 155 150 146
21 155 140 163
22 155 149 159
23 155 132 146
24 155 129 139;
param pel:A B C=  
1 199 203 199
2 171 132 171
3 192 154 192
4 195 193 195
5 183 186 183
6 210 178 210
7 190 169 190
8 259 234 259
9 237 198 237
10 265 260 265
11 263 247 263
12 264 269 264
13 189 153 189
14 185 164 185
15 214 216 214
16 270 251 270
17 264 230 264
18 278 253 278
19 283 289 283 
20 295 271 295
21 270 259 270
22 206 166 206
23 233 214 233
24 174 175 174;
param pthl:A B C= 
1 84 84 81
2 70 70 70 
3 73 73 68
4 76 76 75
5 79 79 76
6 76 76 72
7 68 68 73
8 56 56 49
9 40 40 42 
10 36 36 40
11 37 37 42
12 34 34 39
13 33 33 35
14 38 38 31
15 36 36 28
16 53 53 45
17 60 60 65 
18 71 71 69
19 89 89 94
20 82 82 76
21 80 80 72
22 75 75 66
23 81 81 85 
24 75 75 73;
param pechpmax := 200;
param pechpmin := 0;
param pthchpsmax := 135;
param pthchpsmin := 0;
param pesmax := 100;
param pesmin := 0;
